Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
41,8.30939,-12.86060,-32.52040,-51.77720,3.97379,-12.06020,24.18300,43.18430,-14.79850,21.99800,12.10060,-11.44960,-30.08880,-14.25370,162.19300,-69.00800,165.36700,53.56300,865.52400,304.34600
42,8.31606,-12.86090,-32.55170,-51.77880,3.98333,-12.07310,24.17360,43.20270,-14.79320,22.01080,12.10550,-11.43660,-30.08820,-14.25590,162.23100,-69.02050,165.40300,53.58070,865.52300,304.32400
43,8.30421,-12.84650,-32.53300,-51.74710,3.99234,-12.07140,24.18490,43.18340,-14.75410,21.97800,12.07990,-11.42900,-30.11120,-14.27980,162.28000,-69.04390,165.45700,53.54770,865.53700,304.38900
44,8.30045,-12.82570,-32.52350,-51.70030,4.00705,-12.07090,24.18590,43.16430,-14.74290,21.97450,12.06840,-11.43710,-30.10060,-14.29330,162.30000,-69.04510,165.48400,53.58100,865.56400,304.41400
45,8.30615,-12.81060,-32.55190,-51.64770,4.02405,-12.09000,24.22120,43.16980,-14.71930,21.98700,12.05860,-11.43210,-30.15320,-14.32050,162.36900,-69.07280,165.55700,53.57480,865.57000,304.41600
46,8.30520,-12.78770,-32.55820,-51.59310,3.97491,-12.06850,24.09110,43.18010,-14.71170,21.98750,12.05030,-11.36390,-30.04350,-14.29190,162.39200,-69.08510,165.58500,53.61800,865.58800,304.44300
47,8.34348,-12.78800,-32.58120,-51.57300,4.01469,-12.07070,24.07370,43.12230,-14.80100,21.99710,12.09480,-11.41720,-30.02620,-14.26460,162.28600,-69.07060,165.46200,53.80900,865.60100,304.41200
48,8.35283,-12.77720,-32.58910,-51.52740,3.99910,-12.06850,23.98730,43.11510,-14.81140,21.98950,12.08920,-11.39040,-29.95440,-14.25150,162.27900,-69.08220,165.46000,53.87860,865.61500,304.44500
49,8.37234,-12.75640,-32.59750,-51.45250,4.05101,-12.08330,24.03430,43.09170,-14.83200,21.98670,12.08900,-11.44070,-29.99210,-14.27970,162.26600,-69.08970,165.45100,53.95590,865.63100,304.46700
50,8.39031,-12.73040,-32.60210,-51.38960,4.08019,-12.08980,24.04170,43.08240,-14.84660,21.96230,12.07770,-11.47270,-30.00120,-14.30270,162.24900,-69.10310,165.44500,54.03930,865.64600,304.51200
51,8.39529,-12.70840,-32.55490,-51.33460,4.06898,-12.08660,23.98750,43.08520,-14.83030,21.88250,12.03790,-11.45900,-29.97090,-14.32080,162.24000,-69.14000,165.45000,54.06510,865.66600,304.62500
52,8.42538,-12.69590,-32.57340,-51.28650,4.07429,-12.09270,23.93520,43.11050,-14.87260,21.88150,12.05730,-11.45440,-29.91420,-14.29980,162.21200,-69.14150,165.41800,54.18740,865.66600,304.59400
53,8.45105,-12.68260,-32.57870,-51.24820,4.11433,-12.10280,23.97410,43.08870,-14.90390,21.85920,12.06400,-11.49690,-29.95860,-14.31540,162.18100,-69.15730,165.38400,54.28890,865.67300,304.61000
