Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
53,8.29917,-12.11800,-39.21110,-44.10500,2.98889,-13.25380,20.59880,40.45130,-14.10070,14.73100,8.87258,-7.03043,-26.64390,-8.46784,159.08700,-66.17300,163.32700,-68.94700,874.96300,397.34200
54,8.27882,-12.11850,-39.19530,-44.09350,3.00002,-13.26590,20.64810,40.45680,-14.05810,14.75040,8.86366,-7.02581,-26.66440,-8.48401,159.14600,-66.15220,163.39100,-69.06200,874.96800,397.28500
55,8.30947,-12.12890,-39.18590,-44.10020,2.99473,-13.26760,20.59640,40.45150,-14.09910,14.71620,8.88087,-7.02344,-26.63820,-8.45770,159.09700,-66.16500,163.33400,-68.95830,874.95500,397.22100
56,8.29795,-12.12130,-39.19430,-44.08330,2.99611,-13.28060,20.62090,40.48090,-14.06200,14.75390,8.87307,-7.00690,-26.63900,-8.47118,159.15900,-66.14940,163.40400,-69.07000,874.95200,397.16200
57,8.26862,-12.13280,-39.04170,-44.13260,2.99001,-13.28310,20.61430,40.50010,-14.02230,14.59910,8.85727,-6.99672,-26.63280,-8.46299,159.15800,-66.15300,163.40200,-69.05780,874.94900,397.09400
58,8.31139,-12.12950,-39.16670,-44.09790,2.99264,-13.28870,20.62970,40.51430,-14.05560,14.71890,8.88398,-6.98380,-26.65050,-8.45577,159.18000,-66.15910,163.41600,-69.06470,874.93000,397.03400
59,8.28339,-12.14610,-39.03330,-44.14830,2.97956,-13.28870,20.60940,40.52900,-14.01780,14.57970,8.86962,-6.96734,-26.63990,-8.44570,159.18000,-66.16650,163.41600,-69.05720,874.92500,396.96900
60,8.28280,-12.14000,-39.02330,-44.13760,2.97303,-13.28960,20.60930,40.53010,-14.01340,14.57220,8.86988,-6.95859,-26.63850,-8.44192,159.18300,-66.16920,163.42000,-69.05650,874.92400,396.91600
61,8.28157,-12.13290,-39.03510,-44.12240,2.97812,-13.28840,20.62270,40.53190,-14.01990,14.58080,8.87476,-6.96539,-26.65240,-8.44021,159.16900,-66.17190,163.40700,-69.04330,874.92800,396.85800
62,8.27204,-12.12810,-39.02160,-44.13020,2.97435,-13.28930,20.60670,40.54470,-14.01620,14.57460,8.87427,-6.96182,-26.62940,-8.43589,159.16400,-66.16960,163.40400,-69.02920,874.92900,396.81300
63,8.26572,-12.12790,-39.01120,-44.12390,2.97612,-13.29540,20.59490,40.56060,-14.01690,14.56470,8.87790,-6.96146,-26.61800,-8.42895,159.15400,-66.17020,163.39200,-69.00860,874.92700,396.76100
64,8.26453,-12.13230,-39.00660,-44.12470,2.98104,-13.29730,20.58780,40.56050,-14.02180,14.56520,8.88605,-6.96020,-26.60620,-8.41962,159.14700,-66.17020,163.38200,-68.98750,874.92000,396.70400
65,8.26092,-12.13070,-39.00150,-44.14540,2.96845,-13.29480,20.53780,40.58240,-14.02710,14.55420,8.88920,-6.94733,-26.56430,-8.40515,159.12900,-66.17490,163.36300,-68.96300,874.91300,396.65500
66,8.26477,-12.13130,-39.01730,-44.14550,2.95169,-13.29930,20.53740,40.59370,-14.05040,14.53410,8.90078,-6.93945,-26.60050,-8.38615,159.06600,-66.20400,163.29500,-68.97250,874.90200,396.54000
67,8.26000,-12.14030,-39.00460,-44.16990,2.94404,-13.30210,20.49110,40.61520,-14.05500,14.51570,8.90721,-6.92936,-26.56130,-8.37021,159.05100,-66.20670,163.27500,-68.93110,874.89200,396.49800
68,8.25080,-12.13980,-39.00070,-44.18730,2.92974,-13.29300,20.45330,40.64060,-14.05800,14.50660,8.91253,-6.91424,-26.51830,-8.35436,159.03500,-66.21200,163.25600,-68.89370,874.88500,396.45700
69,8.24497,-12.14220,-39.00460,-44.17410,2.93127,-13.30360,20.44610,40.63370,-14.06670,14.51660,8.91865,-6.91773,-26.51660,-8.34736,159.01800,-66.21570,163.23700,-68.85130,874.88800,396.41700
70,8.23915,-12.13260,-39.02160,-44.16680,2.92327,-13.30030,20.42550,40.63720,-14.07610,14.53200,8.92440,-6.91447,-26.50490,-8.33891,158.99900,-66.22060,163.21800,-68.80590,874.88600,396.37700
71,8.23199,-12.12260,-39.04680,-44.14570,2.92195,-13.30550,20.42790,40.65430,-14.09050,14.55670,8.92860,-6.92290,-26.51160,-8.33596,158.97100,-66.22640,163.19300,-68.74910,874.88500,396.33500
72,8.24229,-12.11290,-39.20240,-44.12470,2.92607,-13.31810,20.45340,40.69870,-14.08670,14.72050,8.94472,-6.89521,-26.51940,-8.34251,159.05600,-66.23280,163.27600,-68.73120,874.86700,396.31100
73,8.21095,-12.09700,-39.09750,-44.12380,2.93199,-13.32770,20.47020,40.70440,-14.06730,14.61440,8.92769,-6.91372,-26.54070,-8.34716,159.02600,-66.23820,163.25300,-68.66770,874.87600,396.27200
74,8.21898,-12.08690,-39.09060,-44.10580,2.94036,-13.30840,20.41620,40.66490,-14.13850,14.62270,8.94243,-6.96868,-26.48840,-8.32847,158.90600,-66.21690,163.13200,-68.50250,874.89600,396.30000
75,8.22398,-12.07950,-39.12020,-44.07210,2.95780,-13.31800,20.46420,40.66000,-14.15840,14.64740,8.95327,-6.98870,-26.54010,-8.32899,158.88700,-66.22510,163.11000,-68.43170,874.89700,396.26500
76,8.24807,-12.07800,-39.29410,-44.05190,2.94497,-13.33200,20.51180,40.70260,-14.16900,14.79630,8.97503,-6.94945,-26.61090,-8.32755,158.94000,-66.26150,163.15800,-68.44490,874.86000,396.18500
77,8.22472,-12.07550,-39.17630,-44.07010,2.95943,-13.33360,20.54440,40.71430,-14.15190,14.67230,8.96135,-6.97289,-26.64920,-8.33176,158.91300,-66.26870,163.13300,-68.35880,874.86600,396.15200
78,8.23299,-12.06760,-39.14810,-44.05230,2.97043,-13.32350,20.50310,40.67210,-14.21570,14.65440,8.97578,-7.02501,-26.60190,-8.31358,158.80800,-66.24760,163.02500,-68.18390,874.88600,396.18900
79,8.23787,-12.05990,-39.15550,-44.04450,2.97840,-13.32250,20.52100,40.67900,-14.23400,14.66000,8.98309,-7.04056,-26.61840,-8.31087,158.78700,-66.25100,163.00300,-68.09010,874.88900,396.16600
80,8.26807,-12.03990,-39.30220,-43.98390,2.97945,-13.31510,20.52700,40.67990,-14.28500,14.79790,9.01027,-7.04538,-26.62790,-8.30321,158.77500,-66.25530,162.98700,-68.01600,874.88300,396.14900
81,8.26320,-12.02600,-39.29950,-43.95670,2.97970,-13.31510,20.53530,40.67640,-14.28520,14.79750,9.01044,-7.04659,-26.63220,-8.30249,158.77800,-66.25970,162.99000,-67.95490,874.89000,396.13000
82,8.24718,-12.02280,-39.15990,-43.96050,2.98789,-13.31280,20.53110,40.67150,-14.26420,14.65790,8.99603,-7.05800,-26.63480,-8.30101,158.76500,-66.26470,162.97900,-67.85670,874.90700,396.11200
83,8.28102,-12.01450,-39.27990,-43.92830,2.98001,-13.31400,20.51440,40.69400,-14.30830,14.77140,9.01908,-7.04848,-26.61670,-8.28900,158.76200,-66.27250,162.97200,-67.78040,874.89100,396.09400
84,8.26206,-12.01620,-39.13030,-43.93250,2.98547,-13.30870,20.51340,40.69080,-14.28250,14.61570,9.00364,-7.05547,-26.62530,-8.28563,158.75300,-66.28010,162.96200,-67.69070,874.90000,396.07200
85,8.28100,-12.01930,-39.12800,-43.91440,2.99711,-13.31970,20.53100,40.70200,-14.30020,14.61020,9.01453,-7.06298,-26.64540,-8.27988,158.74900,-66.28680,162.95100,-67.60330,874.89400,396.04800
86,8.28361,-12.01990,-39.11280,-43.91210,3.00436,-13.31550,20.53290,40.69510,-14.30170,14.59020,9.01855,-7.06539,-26.65190,-8.27511,158.75500,-66.28960,162.95400,-67.52630,874.89200,396.03000
87,8.32351,-12.02540,-39.09140,-43.91720,3.01534,-13.32760,20.50730,40.70420,-14.36160,14.53880,9.04303,-7.08556,-26.65290,-8.24868,158.68900,-66.30840,162.87400,-67.30640,874.87600,396.00300
