Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
55,19.49940,-14.75750,-27.87750,-41.91340,12.63290,-13.65160,23.72910,34.62690,-16.71950,11.75020,8.60752,-12.35540,-17.19310,-8.48247,153.10800,-76.41470,155.24000,-49.53710,874.33500,413.11200
56,19.50150,-14.76630,-27.87280,-41.93620,12.63930,-13.65380,23.75420,34.61670,-16.72040,11.73850,8.60682,-12.36450,-17.21750,-8.48629,153.09700,-76.40880,155.23000,-49.58520,874.32900,413.09200
57,19.50380,-14.76690,-27.86620,-41.93620,12.64740,-13.66220,23.78830,34.65820,-16.72130,11.73710,8.61065,-12.37140,-17.22440,-8.49107,153.09300,-76.40160,155.22300,-49.63050,874.32900,413.06500
58,19.49320,-14.77380,-27.87050,-41.94690,12.65500,-13.66960,23.81250,34.66370,-16.71340,11.73270,8.60373,-12.38310,-17.24160,-8.49962,153.08200,-76.39310,155.21800,-49.69010,874.33000,413.05500
59,19.48120,-14.78130,-27.87010,-41.94860,12.67020,-13.66920,23.84390,34.64020,-16.69490,11.73750,8.60096,-12.38690,-17.27040,-8.50733,153.11200,-76.39140,155.24900,-49.75170,874.33000,413.02500
60,19.47330,-14.79060,-27.86430,-41.95940,12.68240,-13.66750,23.86450,34.62130,-16.69710,11.73800,8.60189,-12.40670,-17.28680,-8.50902,153.07900,-76.37820,155.21800,-49.79000,874.32800,412.99800
61,19.46740,-14.79300,-27.86350,-41.97470,12.69140,-13.66980,23.87940,34.60610,-16.68590,11.74020,8.60062,-12.40800,-17.30550,-8.51352,153.08900,-76.37900,155.22900,-49.84390,874.32700,412.96300
62,19.45290,-14.77860,-27.83490,-41.95700,12.57880,-13.68280,23.58600,34.81290,-16.68810,11.72520,8.58173,-12.32260,-16.99420,-8.46419,153.04000,-76.36470,155.19100,-49.85330,874.34900,413.02300
63,19.45400,-14.78410,-27.83390,-41.96950,12.57810,-13.69260,23.54930,34.84490,-16.68940,11.73810,8.58860,-12.31560,-16.96210,-8.45580,153.04100,-76.35940,155.19200,-49.88130,874.34800,412.98100
64,19.46360,-14.78760,-27.84440,-41.96580,12.58140,-13.69530,23.54850,34.85770,-16.70210,11.75270,8.59976,-12.32080,-16.95390,-8.44936,153.02300,-76.35180,155.17100,-49.90040,874.34200,412.93900
65,19.47410,-14.78820,-27.85460,-41.95990,12.58710,-13.69560,23.54160,34.87730,-16.71140,11.75980,8.60683,-12.32410,-16.94740,-8.44649,153.01700,-76.34800,155.16500,-49.91310,874.33800,412.89900
